rank,stock_code,description,total_quantity,total_revenue,avg_monthly_qty,peak_month,slope_units_per_month,slope_pct_per_month,momentum_pct,status
1,85123A,WHITE HANGING HEART T-LIGHT HOLDER,30198,89075.67,1258.2,2024-12,37.6,2.99,26.3,Rising
2,47566,PARTY BUNTING,22678,112134.03,944.9,2024-11,46.65,4.94,64.4,Rising
3,22197,POPCORN HOLDER,22239,18882.21,926.6,2024-11,49.83,5.38,59.2,Rising
4,84879,ASSORTED COLOUR BIRD ORNAMENT,17482,29610.98,728.4,2023-11,13.15,1.81,51.7,Stable
5,21212,PACK OF 72 RETRO SPOT CAKE CASES,15202,8362.96,633.4,2024-11,21.01,3.32,48.2,Rising
6,22423,REGENCY CAKESTAND 3 TIER,13483,171761.81,561.8,2023-11,-2.49,-0.44,70.7,Stable
7,21931,JUMBO STORAGE BAG SUKI,11561,22562.44,481.7,2024-11,17.52,3.64,55.6,Rising
8,22384,LUNCH BAG PINK POLKADOT,8285,13670.14,345.2,2024-11,10.27,2.97,45.1,Rising
9,22086,PAPER CHAIN KIT 50'S CHRISTMAS,7635,19432.6,318.1,2023-11,3.1,0.97,45.2,Stable
10,23084,RABBIT NIGHT LIGHT,7025,14608.06,292.7,2023-11,-4.23,-1.45,26.2,Stable
11,20725,LUNCH BAG RED RETROSPOT,6800,11195.27,283.3,2023-11,-1.42,-0.5,43.8,Stable
12,22720,SET OF 3 CAKE TINS PANTRY DESIGN,5823,28829.19,242.6,2023-11,-16.93,-6.98,-44.3,Declining
