Fatura No;TARIH;STOK ADI;SATIS ADEDI;FIYAT;Kasiyer
F17708;06.01.2024;Türk Kahvesi 100g;40;129.41;Ayşe
F13545;03.01.2024;Türk Kahvesi 100g;31;114.46;Ayşe
F24376;20.01.2024;Türk Kahvesi 100g;81;101.73;Zeynep
F89903;15.01.2024;Türk Kahvesi 100g;31;130.09;Ayşe
F76404;22.01.2024;Türk Kahvesi 100g;41;139.04;Zeynep
F68531;20.01.2024;Türk Kahvesi 100g;32;45.22;Ayşe
F97610;27.01.2024;Türk Kahvesi 100g;27;174.3;Ayşe
F69639;17.01.2024;Türk Kahvesi 100g;62;157.13;Mehmet
F12731;08.01.2024;Türk Kahvesi 100g;22;140.77;Zeynep
F56818;27.01.2024;Türk Kahvesi 100g;43;136.36;Ayşe
F36834;14.01.2024;Türk Kahvesi 100g;49;76.71;Zeynep
F44904;24.01.2024;Türk Kahvesi 100g;38;144.01;Ayşe
F83805;26.01.2024;Türk Kahvesi 100g;35;172.38;Mehmet
F44612;03.01.2024;Türk Kahvesi 100g;45;102.12;Zeynep
F53171;11.01.2024;Türk Kahvesi 100g;22;87.34;Ayşe
F66583;25.01.2024;Türk Kahvesi 100g;31;126.46;Mehmet
F45968;04.01.2024;Türk Kahvesi 100g;44;71.14;Mehmet
F13960;21.01.2024;Türk Kahvesi 100g;35;127.21;Zeynep
F92896;14.01.2024;Türk Kahvesi 100g;22;69.5;Ayşe
F89741;28.01.2024;Türk Kahvesi 100g;4;159.12;Mehmet
F81091;28.01.2024;Türk Kahvesi 100g;57;57.31;Ayşe
F34152;06.01.2024;Türk Kahvesi 100g;20;169.5;Mehmet
F21407;02.01.2024;Türk Kahvesi 100g;10;168.17;Ayşe
F96869;27.01.2024;Filtre Kahve 250g;36;124.02;Zeynep
F94971;20.01.2024;Filtre Kahve 250g;16;143.58;Mehmet
F43144;05.01.2024;Filtre Kahve 250g;19;142.02;Mehmet
F15732;15.01.2024;Filtre Kahve 250g;30;73.73;Ayşe
F54566;18.01.2024;Filtre Kahve 250g;37;122.76;Ayşe
F75600;22.01.2024;Filtre Kahve 250g;21;47.84;Mehmet
F57496;05.01.2024;Filtre Kahve 250g;17;101.36;Ayşe
F96041;11.01.2024;Filtre Kahve 250g;30;101.98;Ayşe
F41396;21.01.2024;Filtre Kahve 250g;39;58.53;Mehmet
F36965;16.01.2024;Filtre Kahve 250g;18;126.62;Zeynep
F76951;01.01.2024;Filtre Kahve 250g;35;152.88;Zeynep
F22034;23.01.2024;Filtre Kahve 250g;16;81.79;Mehmet
F53376;25.01.2024;Filtre Kahve 250g;23;127.87;Mehmet
F51448;09.01.2024;Filtre Kahve 250g;42;129.45;Zeynep
F19395;18.01.2024;Filtre Kahve 250g;23;147.46;Mehmet
F88216;03.01.2024;Filtre Kahve 250g;31;119.33;Mehmet
F46413;25.01.2024;Filtre Kahve 250g;17;73.6;Mehmet
